5.517650000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851463125e+00	1.817851463125e+00	1.820725822235e+00
6.097950000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851490617e+00	1.817851490617e+00	1.820725830691e+00
6.739280000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851477988e+00	1.817851477988e+00	1.820725802007e+00
7.448050000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851486408e+00	1.817851486408e+00	1.820725813853e+00
8.231370000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851473779e+00	1.817851473779e+00	1.820725816200e+00
9.097070000000e-06	1.000000000000e+00	1.333316619107e+00	1.817851535172e+00	1.817851535172e+00	1.820725793587e+00
1.005380000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851482198e+00	1.817851537034e+00	1.820725787143e+00
1.111120000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851471544e+00	1.817851471544e+00	1.820725798989e+00
1.227980000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851435073e+00	1.817851435073e+00	1.820725778723e+00
1.357120000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851501272e+00	1.817851501272e+00	1.820725763860e+00
1.499850000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851486408e+00	1.817851486408e+00	1.820725872228e+00
1.657590000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851477988e+00	1.817851477988e+00	1.820725778723e+00
1.831930000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851420209e+00	1.817851455972e+00	1.820725774514e+00
2.024590000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851511926e+00	1.817851511926e+00	1.820725791352e+00
2.237520000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851456680e+00	1.817851456680e+00	1.820725802007e+00
2.472840000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851449937e+00	1.817851463125e+00	1.820725743370e+00
2.732910000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851443492e+00	1.817851490617e+00	1.820725789378e+00
3.020330000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851439283e+00	1.817851482198e+00	1.820725782933e+00
3.337990000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851477988e+00	1.817851477988e+00	1.820725743370e+00
3.689040000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851430864e+00	1.817851482198e+00	1.820725770304e+00
4.077030000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851430864e+00	1.817851430864e+00	1.820725725266e+00
4.505810000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851443492e+00	1.817851490617e+00	1.820725706192e+00
4.979690000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851404451e+00	1.817851439283e+00	1.820725671212e+00
5.503410000000e-05	1.000000000000e+00	1.333316619107e+00	1.817851430864e+00	1.817851458915e+00	1.820725636008e+00
